goos: darwin
goarch: amd64
pkg: github.com/dkhrunov/dsa-go/searching
cpu: Intel(R) Core(TM) i5-1038NG7 CPU @ 2.00GHz
BenchmarkSearch/LinearSearch-4000-8                 	10986349	       109.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkSearch/LinearSearchRecursive-4000-8        	   33519	     34597 ns/op	       0 B/op	       0 allocs/op
BenchmarkSearch/LinearSearchTransposition-4000-8    	438523466	         2.754 ns/op	       0 B/op	       0 allocs/op
BenchmarkSearch/LinearSearchMoveToFront-4000-8      	463573087	         2.580 ns/op	       0 B/op	       0 allocs/op
BenchmarkSearch/BinarySearch-4000-8                 	64145598	        18.17 ns/op	       0 B/op	       0 allocs/op
BenchmarkSearch/JumpSearch-4000-8                   	13412508	        96.09 ns/op	       0 B/op	       0 allocs/op
BenchmarkSearch/ExponentialSearch-4000-8            	56252426	        20.82 ns/op	       0 B/op	       0 allocs/op
BenchmarkSearch/LinearSearch-4500-8                 	 3380042	       343.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkSearch/LinearSearchRecursive-4500-8        	   36228	     35929 ns/op	       0 B/op	       0 allocs/op
BenchmarkSearch/LinearSearchTransposition-4500-8    	436682022	         2.527 ns/op	       0 B/op	       0 allocs/op
BenchmarkSearch/LinearSearchMoveToFront-4500-8      	414686929	         2.639 ns/op	       0 B/op	       0 allocs/op
BenchmarkSearch/BinarySearch-4500-8                 	67216636	        17.87 ns/op	       0 B/op	       0 allocs/op
BenchmarkSearch/JumpSearch-4500-8                   	13961654	        81.64 ns/op	       0 B/op	       0 allocs/op
BenchmarkSearch/ExponentialSearch-4500-8            	46833280	        26.06 ns/op	       0 B/op	       0 allocs/op
BenchmarkSearch/LinearSearch-5000-8                 	 3259582	       371.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkSearch/LinearSearchRecursive-5000-8        	   33364	     39164 ns/op	       0 B/op	       0 allocs/op
BenchmarkSearch/LinearSearchTransposition-5000-8    	449689645	         2.755 ns/op	       0 B/op	       0 allocs/op
BenchmarkSearch/LinearSearchMoveToFront-5000-8      	446877874	         2.788 ns/op	       0 B/op	       0 allocs/op
BenchmarkSearch/BinarySearch-5000-8                 	68777086	        17.88 ns/op	       0 B/op	       0 allocs/op
BenchmarkSearch/JumpSearch-5000-8                   	18360754	        69.54 ns/op	       0 B/op	       0 allocs/op
BenchmarkSearch/ExponentialSearch-5000-8            	46885328	        26.56 ns/op	       0 B/op	       0 allocs/op
BenchmarkSearch/LinearSearch-10000-8                	  411666	      2849 ns/op	       0 B/op	       0 allocs/op
BenchmarkSearch/LinearSearchRecursive-10000-8       	  130952	      9276 ns/op	       0 B/op	       0 allocs/op
BenchmarkSearch/LinearSearchTransposition-10000-8   	479203587	         2.517 ns/op	       0 B/op	       0 allocs/op
BenchmarkSearch/LinearSearchMoveToFront-10000-8     	448822662	         2.798 ns/op	       0 B/op	       0 allocs/op
BenchmarkSearch/BinarySearch-10000-8                	58380790	        22.24 ns/op	       0 B/op	       0 allocs/op
BenchmarkSearch/JumpSearch-10000-8                  	 2866551	       403.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkSearch/ExponentialSearch-10000-8           	40004613	        29.55 ns/op	       0 B/op	       0 allocs/op
BenchmarkSearch/LinearSearch-15000-8                	  538658	      2304 ns/op	       0 B/op	       0 allocs/op
BenchmarkSearch/LinearSearchRecursive-15000-8       	   13584	     89123 ns/op	       0 B/op	       0 allocs/op
BenchmarkSearch/LinearSearchTransposition-15000-8   	435845832	         2.544 ns/op	       0 B/op	       0 allocs/op
BenchmarkSearch/LinearSearchMoveToFront-15000-8     	475034902	         2.748 ns/op	       0 B/op	       0 allocs/op
BenchmarkSearch/BinarySearch-15000-8                	56944564	        23.60 ns/op	       0 B/op	       0 allocs/op
BenchmarkSearch/JumpSearch-15000-8                  	 3600210	       345.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkSearch/ExponentialSearch-15000-8           	38719489	        32.19 ns/op	       0 B/op	       0 allocs/op
BenchmarkSearch/LinearSearch-20000-8                	  199365	      6140 ns/op	       0 B/op	       0 allocs/op
BenchmarkSearch/LinearSearchRecursive-20000-8       	  166509	      7848 ns/op	       0 B/op	       0 allocs/op
BenchmarkSearch/LinearSearchTransposition-20000-8   	469160530	         2.519 ns/op	       0 B/op	       0 allocs/op
BenchmarkSearch/LinearSearchMoveToFront-20000-8     	481268542	         2.505 ns/op	       0 B/op	       0 allocs/op
BenchmarkSearch/BinarySearch-20000-8                	58248586	        20.92 ns/op	       0 B/op	       0 allocs/op
BenchmarkSearch/JumpSearch-20000-8                  	 2910855	       408.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkSearch/ExponentialSearch-20000-8           	39578922	        30.55 ns/op	       0 B/op	       0 allocs/op
BenchmarkSearch/LinearSearch-25000-8                	  208426	      5598 ns/op	       0 B/op	       0 allocs/op
BenchmarkSearch/LinearSearchRecursive-25000-8       	   16828	     71926 ns/op	       0 B/op	       0 allocs/op
BenchmarkSearch/LinearSearchTransposition-25000-8   	396514348	         2.544 ns/op	       0 B/op	       0 allocs/op
BenchmarkSearch/LinearSearchMoveToFront-25000-8     	475092318	         2.507 ns/op	       0 B/op	       0 allocs/op
BenchmarkSearch/BinarySearch-25000-8                	58442208	        20.87 ns/op	       0 B/op	       0 allocs/op
BenchmarkSearch/JumpSearch-25000-8                  	 2945551	       404.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkSearch/ExponentialSearch-25000-8           	35609179	        33.78 ns/op	       0 B/op	       0 allocs/op
BenchmarkSearch/LinearSearch-30000-8                	  145610	      9202 ns/op	       0 B/op	       0 allocs/op
BenchmarkSearch/LinearSearchRecursive-30000-8       	   34256	     38339 ns/op	       0 B/op	       0 allocs/op
BenchmarkSearch/LinearSearchTransposition-30000-8   	437810600	         2.566 ns/op	       0 B/op	       0 allocs/op
BenchmarkSearch/LinearSearchMoveToFront-30000-8     	453186432	         2.706 ns/op	       0 B/op	       0 allocs/op
BenchmarkSearch/BinarySearch-30000-8                	58323940	        20.87 ns/op	       0 B/op	       0 allocs/op
BenchmarkSearch/JumpSearch-30000-8                  	 1888724	       707.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkSearch/ExponentialSearch-30000-8           	34289851	        35.51 ns/op	       0 B/op	       0 allocs/op
BenchmarkSearch/LinearSearch-35000-8                	 1323144	       910.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkSearch/LinearSearchRecursive-35000-8       	    3634	    334692 ns/op	       0 B/op	       0 allocs/op
BenchmarkSearch/LinearSearchTransposition-35000-8   	473330788	         2.499 ns/op	       0 B/op	       0 allocs/op
BenchmarkSearch/LinearSearchMoveToFront-35000-8     	474905056	         2.500 ns/op	       0 B/op	       0 allocs/op
BenchmarkSearch/BinarySearch-35000-8                	49463155	        24.27 ns/op	       0 B/op	       0 allocs/op
BenchmarkSearch/JumpSearch-35000-8                  	 8049926	       146.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkSearch/ExponentialSearch-35000-8           	40842410	        28.29 ns/op	       0 B/op	       0 allocs/op
BenchmarkSearch/LinearSearch-40000-8                	  200733	      6034 ns/op	       0 B/op	       0 allocs/op
BenchmarkSearch/LinearSearchRecursive-40000-8       	    5209	    223229 ns/op	       0 B/op	       0 allocs/op
BenchmarkSearch/LinearSearchTransposition-40000-8   	453753968	         2.556 ns/op	       0 B/op	       0 allocs/op
BenchmarkSearch/LinearSearchMoveToFront-40000-8     	476600139	         2.552 ns/op	       0 B/op	       0 allocs/op
BenchmarkSearch/BinarySearch-40000-8                	53677659	        22.96 ns/op	       0 B/op	       0 allocs/op
BenchmarkSearch/JumpSearch-40000-8                  	 2274303	       529.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkSearch/ExponentialSearch-40000-8           	33583152	        37.34 ns/op	       0 B/op	       0 allocs/op
BenchmarkSearch/LinearSearch-45000-8                	  142382	      8509 ns/op	       0 B/op	       0 allocs/op
BenchmarkSearch/LinearSearchRecursive-45000-8       	    5120	    204838 ns/op	       0 B/op	       0 allocs/op
BenchmarkSearch/LinearSearchTransposition-45000-8   	470240293	         2.545 ns/op	       0 B/op	       0 allocs/op
BenchmarkSearch/LinearSearchMoveToFront-45000-8     	483789913	         2.535 ns/op	       0 B/op	       0 allocs/op
BenchmarkSearch/BinarySearch-45000-8                	49766563	        25.18 ns/op	       0 B/op	       0 allocs/op
BenchmarkSearch/JumpSearch-45000-8                  	 2006254	       599.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkSearch/ExponentialSearch-45000-8           	32916884	        38.90 ns/op	       0 B/op	       0 allocs/op
BenchmarkSearch/LinearSearch-50000-8                	  132902	      8186 ns/op	       0 B/op	       0 allocs/op
BenchmarkSearch/LinearSearchRecursive-50000-8       	    4393	    255210 ns/op	       0 B/op	       0 allocs/op
BenchmarkSearch/LinearSearchTransposition-50000-8   	487715106	         2.608 ns/op	       0 B/op	       0 allocs/op
BenchmarkSearch/LinearSearchMoveToFront-50000-8     	473627768	         2.749 ns/op	       0 B/op	       0 allocs/op
BenchmarkSearch/BinarySearch-50000-8                	47816895	        26.64 ns/op	       0 B/op	       0 allocs/op
BenchmarkSearch/JumpSearch-50000-8                  	 2030456	       604.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkSearch/ExponentialSearch-50000-8           	31126479	        39.38 ns/op	       0 B/op	       0 allocs/op
BenchmarkSearch/LinearSearch-100000-8               	   44994	     26162 ns/op	       0 B/op	       0 allocs/op
BenchmarkSearch/LinearSearchRecursive-100000-8      	    4942	    231478 ns/op	       0 B/op	       0 allocs/op
BenchmarkSearch/LinearSearchTransposition-100000-8  	461757030	         2.667 ns/op	       0 B/op	       0 allocs/op
BenchmarkSearch/LinearSearchMoveToFront-100000-8    	440948679	         2.869 ns/op	       0 B/op	       0 allocs/op
BenchmarkSearch/BinarySearch-100000-8               	44812579	        27.10 ns/op	       0 B/op	       0 allocs/op
BenchmarkSearch/JumpSearch-100000-8                 	 1214542	      1016 ns/op	       0 B/op	       0 allocs/op
BenchmarkSearch/ExponentialSearch-100000-8          	30430065	        39.98 ns/op	       0 B/op	       0 allocs/op
PASS
ok  	github.com/dkhrunov/dsa-go/searching	212.112s
